Company Name,sy,Extension,Symbol
Laurus Labs Ltd.,LAURUSLABS,.NS,LAURUSLABS.NS
Lemon Tree Hotels Ltd.,LEMONTREE,.NS,LEMONTREE.NS
Life Insurance Corporation of India,LICI,.NS,LICI.NS
Linde India Ltd.,LINDEINDIA,.NS,LINDEINDIA.NS
Lloyds Metals And Energy Ltd.,LLOYDSME,.NS,LLOYDSME.NS
Lupin Ltd.,LUPIN,.NS,LUPIN.NS
MMTC Ltd.,MMTC,.NS,MMTC.NS
MRF Ltd.,MRF,.NS,MRF.NS
Macrotech Developers Ltd.,LODHA,.NS,LODHA.NS
Mahanagar Gas Ltd.,MGL,.NS,MGL.NS
Maharashtra Seamless Ltd.,MAHSEAMLES,.NS,MAHSEAMLES.NS
Mahindra & Mahindra Financial Services Ltd.,M&MFIN,.NS,M&MFIN.NS
Mahindra & Mahindra Ltd.,M&M,.NS,M&M.NS
Mahindra Lifespace Developers Ltd.,MAHLIFE,.NS,MAHLIFE.NS
Manappuram Finance Ltd.,MANAPPURAM,.NS,MANAPPURAM.NS
Mangalore Refinery & Petrochemicals Ltd.,MRPL,.NS,MRPL.NS
Mankind Pharma Ltd.,MANKIND,.NS,MANKIND.NS
Marico Ltd.,MARICO,.NS,MARICO.NS
Maruti Suzuki India Ltd.,MARUTI,.NS,MARUTI.NS
Mastek Ltd.,MASTEK,.NS,MASTEK.NS
Max Financial Services Ltd.,MFSL,.NS,MFSL.NS
Max Healthcare Institute Ltd.,MAXHEALTH,.NS,MAXHEALTH.NS
Mazagoan Dock Shipbuilders Ltd.,MAZDOCK,.NS,MAZDOCK.NS
Metro Brands Ltd.,METROBRAND,.NS,METROBRAND.NS
Metropolis Healthcare Ltd.,METROPOLIS,.NS,METROPOLIS.NS
Minda Corporation Ltd.,MINDACORP,.NS,MINDACORP.NS
Motherson Sumi Wiring India Ltd.,MSUMI,.NS,MSUMI.NS
Motilal Oswal Financial Services Ltd.,MOTILALOFS,.NS,MOTILALOFS.NS
MphasiS Ltd.,MPHASIS,.NS,MPHASIS.NS
Multi Commodity Exchange of India Ltd.,MCX,.NS,MCX.NS
Muthoot Finance Ltd.,MUTHOOTFIN,.NS,MUTHOOTFIN.NS
NATCO Pharma Ltd.,NATCOPHARM,.NS,NATCOPHARM.NS
NBCC (India) Ltd.,NBCC,.NS,NBCC.NS
NCC Ltd.,NCC,.NS,NCC.NS
NHPC Ltd.,NHPC,.NS,NHPC.NS
NLC India Ltd.,NLCINDIA,.NS,NLCINDIA.NS
NMDC Ltd.,NMDC,.NS,NMDC.NS
NMDC Steel Ltd.,NSLNISP,.NS,NSLNISP.NS
NTPC Ltd.,NTPC,.NS,NTPC.NS
Narayana Hrudayalaya Ltd.,NH,.NS,NH.NS
National Aluminium Co. Ltd.,NATIONALUM,.NS,NATIONALUM.NS
Navin Fluorine International Ltd.,NAVINFLUOR,.NS,NAVINFLUOR.NS
Nestle India Ltd.,NESTLEIND,.NS,NESTLEIND.NS
Netweb Technologies India Ltd.,NETWEB,.NS,NETWEB.NS
Network18 Media & Investments Ltd.,NETWORK18,.NS,NETWORK18.NS
Newgen Software Technologies Ltd.,NEWGEN,.NS,NEWGEN.NS
Nippon Life India Asset Management Ltd.,NAM-INDIA,.NS,NAM-INDIA.NS
Nuvama Wealth Management Ltd.,NUVAMA,.NS,NUVAMA.NS
Nuvoco Vistas Corporation Ltd.,NUVOCO,.NS,NUVOCO.NS
Oberoi Realty Ltd.,OBEROIRLTY,.NS,OBEROIRLTY.NS
Oil & Natural Gas Corporation Ltd.,ONGC,.NS,ONGC.NS
Oil India Ltd.,OIL,.NS,OIL.NS
Olectra Greentech Ltd.,OLECTRA,.NS,OLECTRA.NS
One 97 Communications Ltd.,PAYTM,.NS,PAYTM.NS
Oracle Financial Services Software Ltd.,OFSS,.NS,OFSS.NS
PB Fintech Ltd.,POLICYBZR,.NS,POLICYBZR.NS
PCBL Chemical Ltd.,PCBL,.NS,PCBL.NS
PI Industries Ltd.,PIIND,.NS,PIIND.NS
PNB Housing Finance Ltd.,PNBHOUSING,.NS,PNBHOUSING.NS
PNC Infratech Ltd.,PNCINFRA,.NS,PNCINFRA.NS
PTC Industries Ltd.,PTCIL,.NS,PTCIL.NS
PVR INOX Ltd.,PVRINOX,.NS,PVRINOX.NS
Page Industries Ltd.,PAGEIND,.NS,PAGEIND.NS
Patanjali Foods Ltd.,PATANJALI,.NS,PATANJALI.NS
Persistent Systems Ltd.,PERSISTENT,.NS,PERSISTENT.NS
Petronet LNG Ltd.,PETRONET,.NS,PETRONET.NS
Pfizer Ltd.,PFIZER,.NS,PFIZER.NS
Phoenix Mills Ltd.,PHOENIXLTD,.NS,PHOENIXLTD.NS
Pidilite Industries Ltd.,PIDILITIND,.NS,PIDILITIND.NS
Piramal Enterprises Ltd.,PEL,.NS,PEL.NS
Piramal Pharma Ltd.,PPLPHARMA,.NS,PPLPHARMA.NS
Poly Medicure Ltd.,POLYMED,.NS,POLYMED.NS
Polycab India Ltd.,POLYCAB,.NS,POLYCAB.NS
Poonawalla Fincorp Ltd.,POONAWALLA,.NS,POONAWALLA.NS
Power Finance Corporation Ltd.,PFC,.NS,PFC.NS
Power Grid Corporation of India Ltd.,POWERGRID,.NS,POWERGRID.NS
Praj Industries Ltd.,PRAJIND,.NS,PRAJIND.NS
Prestige Estates Projects Ltd.,PRESTIGE,.NS,PRESTIGE.NS
Procter & Gamble Hygiene & Health Care Ltd.,PGHH,.NS,PGHH.NS
Punjab National Bank,PNB,.NS,PNB.NS
Quess Corp Ltd.,QUESS,.NS,QUESS.NS
R R Kabel Ltd.,RRKABEL,.NS,RRKABEL.NS
RBL Bank Ltd.,RBLBANK,.NS,RBLBANK.NS
REC Ltd.,RECLTD,.NS,RECLTD.NS
RHI MAGNESITA INDIA LTD.,RHIM,.NS,RHIM.NS
RITES Ltd.,RITES,.NS,RITES.NS
Radico Khaitan Ltd,RADICO,.NS,RADICO.NS
Rail Vikas Nigam Ltd.,RVNL,.NS,RVNL.NS
Railtel Corporation Of India Ltd.,RAILTEL,.NS,RAILTEL.NS
Rainbow Childrens Medicare Ltd.,RAINBOW,.NS,RAINBOW.NS
Rajesh Exports Ltd.,RAJESHEXPO,.NS,RAJESHEXPO.NS
Ramkrishna Forgings Ltd.,RKFORGE,.NS,RKFORGE.NS
Rashtriya Chemicals & Fertilizers Ltd.,RCF,.NS,RCF.NS
Ratnamani Metals & Tubes Ltd.,RATNAMANI,.NS,RATNAMANI.NS
RattanIndia Enterprises Ltd.,RTNINDIA,.NS,RTNINDIA.NS
