Symbol,Name,Market cap (₹),Market cap,Price,Change %,Valume,Rel Volume,P/E,"EPS dil
TTM","EPS dil growth
TTM YoY","Div yield %
TTM",Analyst Rating
MAXHEALTH,MAX HEALTHCARE INS LTD,"9,51,58,00,00,000",951.58 B,978.1,-3.74%,3.48 M,1.4,94.78,10.32,-4.92%,0.15%,Buy
RECLTD,REC LTD,"9,49,54,00,00,000",949.54 B,360.3,-4.81%,13.49 M,1.79,6.07,59.32,18.95%,4.26%,
MANKIND,MANKIND PHARMA LTD,"9,44,83,00,00,000",944.83 B,"2,290.60",-0.16%,3.97 M,8.01,45.06,50.84,18.05%,0.00%,Buy
UNITDSPR,UNITED SPIRITS LTD,"9,34,94,00,00,000",934.94 B,"1,284.45",-3.82%,900.84 K,1.29,65.05,19.74,10.48%,0.70%,Buy
DRREDDY,DR. REDDY S LABORATORIES,"9,32,16,00,00,000",932.16 B,"1,116.50",-0.80%,3.9 M,1.24,17.35,64.34,2.69%,0.72%,Neutral
BAJAJHFL,BAJAJ HOUSING FINANCE LTD,"9,05,69,00,00,000",905.69 B,108.73,-2.51%,9.17 M,1.24,—,—,—,0.00%,
NAUKRI,INFO EDGE (I) LTD,"9,02,38,00,00,000",902.38 B,"6,992.65",-5.26%,981.1 K,3.49,162.31,43.08,131.46%,0.34%,Buy
HAVELLS,HAVELLS INDIA LTD,"8,91,54,00,00,000",891.54 B,"1,421.80",-2.03%,1.85 M,1.52,63.68,22.33,18.34%,0.70%,Buy
ZYDUSLIFE,ZYDUS LIFESCIENCES LTD,"8,81,66,00,00,000",881.66 B,876.6,-1.11%,1.71 M,1.33,19.47,45.03,53.26%,0.34%,Neutral
DABUR,DABUR INDIA LTD,"8,75,79,00,00,000",875.79 B,493.3,-1.98%,5.53 M,3.57,48.72,10.12,0.22%,1.11%,Buy
CGPOWER,CG POWER AND IND SOL LTD,"8,74,97,00,00,000",874.97 B,572.6,-1.34%,8.54 M,2.48,93.55,6.12,-42.28%,0.23%,Buy
JINDALSTEL,JINDAL STEEL & POWER LTD,"8,73,20,00,00,000",873.2 B,856.15,-0.68%,7.71 M,3.66,21.12,40.54,-25.48%,0.23%,Buy
APOLLOHOSP,APOLLO HOSPITALS ENTER. L,"8,70,18,00,00,000",870.18 B,"6,052.60",-2.14%,845.52 K,2.4,66.43,91.12,65.98%,0.31%,Strong buy
LUPIN,LUPIN LTD,"8,70,14,00,00,000",870.14 B,"1,904.65",0.72%,1.32 M,1.12,30.37,62.71,60.02%,0.42%,Buy
MAZDOCK,MAZAGON DOCK SHIPBUIL LTD,"8,58,78,00,00,000",858.78 B,"2,131.05",1.38%,2.93 M,0.75,31.25,68.2,71.93%,0.83%,Buy
UNIONBANK,UNION BANK OF INDIA,"8,57,64,00,00,000",857.64 B,112.1,-2.63%,15.25 M,1.61,5.22,21.49,13.52%,3.20%,
MUTHOOTFIN,MUTHOOT FINANCE LTD,"8,55,54,00,00,000",855.54 B,"2,132.80",-3.43%,844.75 K,0.77,17.25,123.64,19.36%,1.13%,
INDUSTOWER,INDUS TOWERS LTD,"8,52,37,00,00,000",852.37 B,323.35,-4.41%,9.21 M,1.76,8.62,37.5,81.02%,0.00%,
DIXON,DIXON TECHNO (INDIA) LTD,"8,38,13,00,00,000",838.13 B,"13,935.85",0.81%,851.85 K,3.52,105.66,131.89,124.01%,0.04%,Neutral
ICICIGI,ICICI LOMBARD GIC LTD,"8,37,12,00,00,000",837.12 B,"1,690.95",-0.60%,1.22 M,1.9,33.48,50.51,35.56%,0.68%,
MOTHERSON,SAMVRDHNA MTHRSN INTL LTD,"8,34,13,00,00,000",834.13 B,118.59,-3.51%,39.74 M,1.69,19.8,5.99,103.14%,0.67%,Strong buy
SRF,SRF LTD,"8,28,57,00,00,000",828.57 B,"2,795.40",-2.05%,1 M,1.93,72.25,38.69,-22.29%,0.26%,Neutral
PERSISTENT,PERSISTENT SYSTEMS LTD,"8,25,55,00,00,000",825.55 B,"5,303.90",-3.09%,1.61 M,3.85,62.19,85.28,27.21%,0.57%,Neutral
